   2.0000 3.2702e+08 8.2530e+07 7.1237e+08 9.7006e+07 6.9284e+08 2.4414e+08 4.4812e+08 0.0 0.0 
   2.2500 2.7383e+08 8.6816e+07 5.7519e+08 9.8868e+07 5.5958e+08 2.0778e+08 3.6958e+08 0.0 0.0 
   2.5000 2.2534e+08 8.4619e+07 4.5786e+08 9.4458e+07 4.4565e+08 1.7365e+08 2.9971e+08 0.0 0.0 
   2.7500 1.8374e+08 7.7631e+07 3.6217e+08 8.5515e+07 3.5272e+08 1.4360e+08 2.4104e+08 0.0 0.0 
   3.0000 1.4918e+08 6.9185e+07 2.8603e+08 7.5478e+07 2.7874e+08 1.1808e+08 1.9327e+08 0.0 0.0 
   3.2500 1.2094e+08 6.0578e+07 2.2627e+08 6.5613e+07 2.2061e+08 9.6808e+07 1.5499e+08 0.0 0.0 
   3.5000 9.8147e+07 5.2409e+07 1.7945e+08 5.6442e+07 1.7505e+08 7.9366e+07 1.2452e+08 0.0 0.0 
   3.7500 7.9829e+07 4.5022e+07 1.4271e+08 4.8258e+07 1.3930e+08 6.5173e+07 1.0028e+08 0.0 0.0 
   4.0000 6.5146e+07 3.8505e+07 1.1416e+08 4.1113e+07 1.1149e+08 5.3651e+07 8.1108e+07 0.0 0.0 
   4.2500 5.3333e+07 3.2868e+07 9.1802e+07 3.4978e+07 8.9706e+07 4.4283e+07 6.5859e+07 0.0 0.0 
   4.5000 4.3781e+07 2.7999e+07 7.4102e+07 2.9705e+07 7.2455e+07 3.6643e+07 5.3637e+07 0.0 0.0 
   4.7500 3.6143e+07 2.3427e+07 6.0198e+07 2.4759e+07 5.8898e+07 3.0477e+07 4.3942e+07 0.0 0.0 
   5.0000 3.0013e+07 1.9691e+07 4.9234e+07 2.0740e+07 4.8202e+07 2.5481e+07 3.6225e+07 0.0 0.0 
   5.2500 2.5035e+07 1.6610e+07 4.0492e+07 1.7440e+07 3.9669e+07 2.1390e+07 3.0011e+07 0.0 0.0 
   5.5000 2.0958e+07 1.4052e+07 3.3456e+07 1.4711e+07 3.2798e+07 1.8013e+07 2.4962e+07 0.0 0.0 
   5.7500 1.7627e+07 1.1938e+07 2.7791e+07 1.2465e+07 2.7260e+07 1.5236e+07 2.0868e+07 0.0 0.0 
   6.0000 1.4894e+07 1.0185e+07 2.3206e+07 1.0608e+07 2.2776e+07 1.2943e+07 1.7533e+07 0.0 0.0 
   6.2500 1.2639e+07 8.7207e+06 1.9471e+07 9.0625e+06 1.9121e+07 1.1038e+07 1.4798e+07 0.0 0.0 
